CASRN,SMILES
124107,CCCCCCCCCCCCCC(=O)OC
591242,CC1CCCC(=O)C1
123911,C1COCCO1
629505,CCCCCCCCCCCCC
108849,CC(C)CC(C)OC(=O)C
,C1=CC=C(C=C1)CC#N
583595,CC1CCCCC1O
542416,CCCCC=C
79016,C(=C(Cl)Cl)Cl
470826,CC1(C2CCC(O1)(CC2)C)C
108383,CC1=CC(=CC=C1)C
124298,CCCCCCCCCCCCCCCCO
91667,CCN(CC)C1=CC=CC=C1
67630,CC(C)O
10441573,CN1CCCC1=S
110894,C1COCCN1
96413,C1CCC(C1)O
96333,CCOC(=O)C=C
107051,C=CCCl
77769,CC(C)(OC)OC
112287,COCCCOCCCO
96377,CC1CCCC1
,C=CC#C
1717006,CC(F)(Cl)Cl
79312,CC(C)C(=O)O
91010,C1=CC=C(C=C1)CO
109693,CCCCCl
111659,CCCCCCCC
106990,C=CC=C
104518,CCCCC1=CC=CC=C1
78842,CC(C)C=O
17092807,CC1=CC(=C(C)C)CCC1
76164,C(C(F)(F)F)(F)(F)F
7782447,O=O
107211,C(CO)O
554121,CCC(=O)OC
108189,CC(C)NC(C)C
107391,CC(=C)CC(C)(C)C
137326,CCC(C)CO
142289,C(CCl)CCl
74964,CCBr
431038,CC(=O)C(=O)C
107879,CCCC(=O)C
,CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC
677214,C=CC(F)(F)F
105577,CCOC(C)OCC
110714,COCCOC
630024,CCCCCCCCCCCCCCCCCCCCCCCCCCCC
110054,CC(C)(C)OOC(C)(C)C
111364,CCCCN=C=O
625558,CC(C)OC=O
105384,CCC(=O)OC=C
111762,CCCCOCCO
589402,CCCCOC=O
,C(Cl)(Cl)Cl
,CCCO
706796,C1(=C(C(C(C1(F)F)(F)F)(F)F)Cl)Cl
109068,CC1=CC=CC=N1
75376,CC(F)F
109604,CCCOC(=O)C
129000,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2
100174,CCOCCO
138863,CC1=CCC(CC1)C(=C)C
,C#CCO
95658,CC1=C(C=C(C=C1)O)C
399940,C1=CC(=CC=C1F)F
123422,CC(=O)CC(C)(C)O
75694,C(F)(Cl)(Cl)Cl
2584750,O
108203,CC(C)OC(C)C
616386,COC(=O)OC
2189608,CCCCCCCCC1=CC=CC=C1
56235,C(Cl)(Cl)(Cl)Cl
676222,C1CC=CCCC=CCCC=C1
71363,CCCCO
111433,CCCOCCC
80626,CC(=C)C(=O)OC
110861,C1=CC=NC=C1
,CC(=C)C#N
542927,C1C=CC=C1
98066,CC(C)(C)C1=CC=CC=C1
79469,CC(C)[N+](=O)[O-]
111966,COCCOCCOC
54115,CN1CCC[C@H]1C2=CN=CC=C2
78944,CC(=O)C=C
96435,C1=CSC(=C1)Cl
75729,C(F)(F)(F)Cl
7789200,[2H]O[2H]
75456,C(F)(F)Cl
2467109,C(CCCl)CC(Cl)(Cl)Cl
140761,CC1=NC=C(C=C1)C=C
79345,C(C(Cl)(Cl)Cl)Cl
106354,CCCCC(=O)CC
51809,CN(C)CN(C)C
101973,CCOC(=O)CC1=CC=CC=C1
,C1=CC=C(C=C1)C#N
464062,CC(C)C(C)(C)C
120514,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
3522949,CC(C)CCC(C)(C)C
497267,CC1OCCO1
98828,CC(C)C1CCCCC1
629732,CCCCCCCCCCCCCCC=C
142927,CCCCCCOC(=O)C
60297,CCOCC
,CC(C#N)N(C)C
142621,CCCCCC(=O)O
,C/C=C/C
871227,CCCCOC(C)OCCCC
76017,C(C(Cl)(Cl)Cl)(Cl)Cl
,C/C=C\C#N
112538,CCCCCCCCCCCCO
7440508,[N+](=O)(O)[O-]
124118,CCCCCCCC=C
123728,CCCC=O
71432,C1=CC=CC=C1
111922,CCCCNCCCC
592905,C1CCCOCC1
111557,CC(=O)OCCOC(=O)C
76197,C(C(F)(F)F)(C(F)(F)F)(F)F
110587,CCCCCN
98862,CC(=O)C1=CC=CC=C1
88186,CC(C)(C)C1=CC=CC=C1O
625274,CCC=C(C)C
95534,CC1=CC=CC=C1N
463581,C(=O)=S
107415,C(CCCO)CCO
107062,C(CCl)Cl
108758,CC1=CC(=NC(=C1)C)C
95692,CCCCOC(=O)C=C
78591,CC1=CC(=O)CC(C1)(C)C
,C(CO)N
123922,CC(C)CCOC(=O)C
,C/C=C/C=C
103651,CCCC1=CC=CC=C1
112390,CCCCCCCCCCCCCCCC(=O)OC
,CC#C
617845,CCN(CC)C=O
96333,COC(=O)C=C
,C/C=C\C
