CASRN,SMILES
75638,C(F)(F)(F)Br
108758,CC1=CC(=NC(=C1)C)C
104905,CCC1=CN=C(C=C1)C
91010,C1=CC=C(C=C1)CO
2679870,CCC(C)OCC
563451,CC(C)C=C
75183,CSC
583608,CC1CCCCC1=O
470826,CC1(C2CCC(O1)(CC2)C)C
110543,CCCCCC
112538,CCCCCCCCCCCCO
1634044,CC(C)(C)OC
123206,CCCC(=O)OC=C
554121,CCC(=O)OC
124118,CCCCCCCC=C
78795,CC(=C)C=C
106934,C(CBr)Br
106898,C1C(O1)CCl
111137,CCCCCCC(=O)C
59881,C1=CC=C(C=C1)NN
90120,CC1=CC=CC2=CC=CC=C12
127195,CC(=O)N(C)C
544763,CCCCCCCCCCCCCCCC
142825,CCCCCCC
124185,CCCCCCCCCC
79016,C(=C(Cl)Cl)Cl
108894,CC1=CC=NC=C1
83329,C1CC2=CC=CC3=C2C1=CC=C3
112798,CCC1=CC=CC2=CC=CC=C21
646060,C1COCO1
356241,COC(=O)C(C(C(F)(F)F)(F)F)(F)F
354336,C(C(F)(F)F)(F)F
765128,C=COCCOCCOCCOC=C
957528,[HH]
76142,C(C(F)(F)Cl)(F)(F)Cl
96480,C1CC(=O)OC1
598323,CC(C=C)O
108996,CC1=CN=CC=C1
109739,CCCCN
597499,CCC(CC)(CC)O
16801197,C=COCCOCC1CO1
123115,COC1=CC=C(C=C1)C=O
95692,CCCCOC(=O)C=C
74873,CCl
105602,C1CCC(=O)NCC1
464062,CC(C)C(C)(C)C
96435,C1=CSC(=C1)Cl
104938,CC1=CC=C(C=C1)OC
542187,C1CCC(CC1)Cl
112072,CCCCOCCOC(=O)C
109875,COCOC
106365,CCCOC(=O)CC
79414,CC(=C)C(=O)O
76380,COC(C(Cl)Cl)(F)F
503300,C1COC1
302012,NN
112889,CCCCCCCCCCCCCCCCC=C
112276,C(COCCOCCO)O
109999,C1CCOC1
75832,CCC(C)(C)C
100618,CNC1=CC=CC=C1
1678917,CCC1CCCCC1
6639301,CC1=CC(=C(C=C1Cl)Cl)Cl
374072,C(C(F)(Cl)Cl)(F)(F)F
107835,CCCC(C)C
74840,CC
74986,CCC
108883,CC1=CC=CC=C1
629414,C(CCCCO)CCCO
115106,COC
590863,CC(C)CC=O
112425,CCCCCCCCCO
108247,CC(=O)OC(=O)C
100185,CC(C)C1=CC=C(C=C1)C(C)C
76120,C(C(F)(Cl)Cl)(F)(Cl)Cl
